"Country","Gender","Score by Gender","Immigration Status","Score by Immigration","Language","Score by Language","Internet: Y/N","Score by Internet","Computer: Y/N","Score by Computer"
"Selected countries and jurisdictions","Female",-0.18226473570922302,"Country of test",-0.16789674394378698,"Language of the test",-0.15108332514447004,"Internet at home: Yes",-0.163253608566781,"Computer for school work at home: Yes","-0.161132251251583"
"International Average (OECD)","Female",-0.11297979515998098,"Country of test",-0.09715754382388982,"Language of the test",-0.10044187040247901,"Internet at home: Yes",-0.09403427078620841,"Computer for school work at home: Yes","-0.0926551739663094"
"Chile","Female",-0.13,"Country of test",-0.13,"Language of the test",-0.13,"Internet at home: Yes",-0.12000000000000001,"Computer for school work at home: Yes","-0.13"
"Greece","Female",-0.48788388382227316,"Country of test",-0.434272100583694,"Language of the test",-0.4397682953321281,"Internet at home: Yes",-0.430304952438709,"Computer for school work at home: Yes","-0.439544550481118"
"Israel","Female",-0.11,"Country of test",-0.08,"Language of the test",-0.08,"Internet at home: Yes",-0.08,"Computer for school work at home: Yes","-0.07"
"Korea","Female",0.0737357254630253,"Country of test",0.0754532357287187,"Language of the test",0.0781276413105877,"Internet at home: Yes",0.0820476311918694,"Computer for school work at home: Yes","0.0840132394313226"
"Latvia","Female",-0.134025256433459,"Country of test",-0.13580343942107903,"Language of the test",-0.13540907187072704,"Internet at home: Yes",-0.13101804204976802,"Computer for school work at home: Yes","-0.126815750181861"
"Lithuania","Female",-0.013966127222664302,"Country of test",0.024177216882111704,"Language of the test",0.024677756187772203,"Internet at home: Yes",0.022290967974868004,"Computer for school work at home: Yes","0.0241317179026577"
"Slovak Republic","Female",-0.0356254974174088,"Country of test",-0.0138335885027647,"Language of the test",-0.023235522858655103,"Internet at home: Yes",-0.010475866897661399,"Computer for school work at home: Yes","-0.011158870190807"
"Spain","Female",-0.067834712128669,"Country of test",-0.08173028009698119,"Language of the test",-0.0969414409693357,"Internet at home: Yes",-0.08593476879735942,"Computer for school work at home: Yes","-0.0742587892559872"
"Albania","Female",-0.32603201546512095,"Country of test",-0.25120894789113896,"Language of the test",-0.261093381696468,"Internet at home: Yes",-0.255981247068601,"Computer for school work at home: Yes","-0.263675961923425"
"Brunei Darussalam","Female",-0.33726117063870586,"Country of test",-0.288348357460383,"Language of the test",-0.23574205531016804,"Internet at home: Yes",-0.280153787036211,"Computer for school work at home: Yes","-0.277405436680242"
